[DEBUG] ======== SETTIMANA 1 ========
index.js:228 [updateState] 4: +8.0h, giorno=8.0h, settimana=8.0h
index.js:228 [updateState] 5: +8.0h, giorno=8.0h, settimana=8.0h
index.js:228 [updateState] 10: +8.0h, giorno=8.0h, settimana=8.0h
index.js:228 [updateState] 3: +8.0h, giorno=8.0h, settimana=8.0h
index.js:228 [updateState] 2: +8.0h, giorno=8.0h, settimana=8.0h
index.js:228 [updateState] 9: +8.0h, giorno=8.0h, settimana=8.0h
index.js:228 [updateState] 4: +8.0h, giorno=8.0h, settimana=16.0h
index.js:228 [updateState] 5: +8.0h, giorno=8.0h, settimana=16.0h
index.js:228 [updateState] 10: +8.0h, giorno=8.0h, settimana=16.0h
index.js:228 [updateState] 3: +8.0h, giorno=8.0h, settimana=16.0h
index.js:228 [updateState] 2: +8.0h, giorno=8.0h, settimana=16.0h
index.js:228 [updateState] 9: +8.0h, giorno=8.0h, settimana=16.0h
index.js:228 [updateState] 4: +8.0h, giorno=8.0h, settimana=24.0h
index.js:228 [updateState] 5: +8.0h, giorno=8.0h, settimana=24.0h
index.js:228 [updateState] 10: +8.0h, giorno=8.0h, settimana=24.0h
index.js:228 [updateState] 3: +8.0h, giorno=8.0h, settimana=24.0h
index.js:228 [updateState] 2: +8.0h, giorno=8.0h, settimana=24.0h
index.js:228 [updateState] 9: +8.0h, giorno=8.0h, settimana=24.0h
index.js:228 [updateState] 4: +8.0h, giorno=8.0h, settimana=32.0h
index.js:228 [updateState] 5: +8.0h, giorno=8.0h, settimana=32.0h
index.js:228 [updateState] 10: +8.0h, giorno=8.0h, settimana=32.0h
index.js:228 [updateState] 3: +8.0h, giorno=8.0h, settimana=32.0h
index.js:228 [updateState] 2: +8.0h, giorno=8.0h, settimana=32.0h
index.js:228 [updateState] 9: +8.0h, giorno=8.0h, settimana=32.0h
index.js:228 [updateState] 4: +8.0h, giorno=8.0h, settimana=40.0h
index.js:228 [updateState] 5: +8.0h, giorno=8.0h, settimana=40.0h
index.js:228 [updateState] 10: +8.0h, giorno=8.0h, settimana=40.0h
index.js:228 [updateState] 3: +8.0h, giorno=8.0h, settimana=40.0h
index.js:228 [updateState] 2: +8.0h, giorno=8.0h, settimana=40.0h
index.js:228 [updateState] 9: +8.0h, giorno=8.0h, settimana=40.0h
index.js:228 [updateState] 1: +8.0h, giorno=8.0h, settimana=8.0h
index.js:228 [updateState] 6: +8.0h, giorno=8.0h, settimana=8.0h
index.js:228 [updateState] 8: +8.0h, giorno=8.0h, settimana=8.0h
index.js:228 [updateState] 7: +8.0h, giorno=8.0h, settimana=8.0h
index.js:228 [updateState] 1: +8.0h, giorno=8.0h, settimana=16.0h
index.js:228 [updateState] 6: +8.0h, giorno=8.0h, settimana=16.0h
index.js:228 [updateState] 8: +8.0h, giorno=8.0h, settimana=16.0h
index.js:228 [updateState] 7: +8.0h, giorno=8.0h, settimana=16.0h
index.js:359 Uncaught TypeError: dayAssignments.some is not a function
